Team,GF60,GA60,CF%,Sh%,Sv%,OZFO%,DZFO%,NZFO%,PP%,PK%,Playoffs
Buffalo,1.84,3.22,38.0,7.71,90.82,28.7,40.3,31.0,13.4,75.1,No
Calgary,2.83,2.56,46.7,10.46,91.1,32.8,35.6,31.6,18.0,80.6,Yes
Carolina,2.18,2.63,52.9,7.21,90.21,36.1,31.7,32.3,18.3,84.7,No
Chicago,2.64,2.22,54.2,7.93,92.53,38.0,30.7,31.3,17.6,83.4,Yes
Colorado,2.5,2.67,44.1,9.14,91.8,32.0,36.9,31.1,14.6,84.6,No
Columbus,2.7,2.98,47.0,9.53,90.95,31.7,36.7,31.6,21.7,80.2,No
Dallas,3.07,3.09,52.0,9.98,89.56,34.4,32.2,33.4,19.3,80.7,No
Detroit,2.76,2.52,52.7,9.51,90.91,36.9,31.6,31.5,23.5,80.9,Yes
Edmonton,2.29,3.29,48.9,8.2,88.87,33.9,32.8,33.3,17.7,76.7,No
Florida,2.37,2.54,50.7,7.87,91.2,34.1,33.8,32.1,16.3,80.0,No
Los Angeles,2.61,2.36,54.1,8.56,91.14,36.5,31.5,32.0,19.0,80.9,No
Minnesota,2.73,2.38,51.0,8.96,91.3,34.9,33.2,31.9,15.8,86.3,Yes
Montreal,2.55,2.21,48.4,9.13,92.55,32.0,36.0,32.0,16.0,83.7,Yes
Nashville,2.71,2.41,52.7,8.65,91.32,35.8,33.5,30.7,16.2,80.8,Yes
New Jersey,2.11,2.5,45.8,8.76,91.73,30.4,36.5,33.1,18.9,80.6,No
NY Islanders,2.94,2.68,53.0,8.84,90.34,36.1,31.5,32.4,18.7,78.0,Yes
NY Rangers,2.99,2.25,50.3,9.61,92.26,33.6,33.6,32.8,16.4,84.3,Yes
Ottawa,2.77,2.48,51.1,9.14,92.1,34.2,33.8,32.0,16.8,82.9,Yes
Philadelphia,2.53,2.66,49.7,8.79,91.01,35.1,33.4,31.5,23.0,77.1,No
Pittsburgh,2.6,2.44,51.9,8.37,91.53,35.2,31.6,33.3,19.3,84.8,Yes
San Jose,2.69,2.72,51.9,8.62,90.72,34.0,35.1,30.8,20.9,78.5,No
St. Louis,2.87,2.35,51.8,9.42,91.22,34.2,34.8,30.9,22.3,83.7,Yes
Tampa Bay,3.12,2.47,51.3,10.67,91.03,34.8,31.6,33.5,18.4,83.7,Yes
